,collision_date,accidents,is_12AM_3AM,is_3AM_6AM,is_6AM_9AM,is_9AM_12PM,is_12PM_3PM,is_3PM_6PM,is_6PM_9PM,is_9PM_12AM,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,avg_density_per_collision,avg_wealth_per_collision,avg_intersections_per_collision,avg_watts_per_collision,avg_lightbulbs_per_collision,avg_one_way_signs_per_collision,avg_speed_limit_signs_per_collision,avg_no_u_turn_signs_per_collision,avg_stop_sign_per_collision,avg_yield_sign_per_collision,high_severity,low_severity,number_killed,number_injured,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,alcohol_involved,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,intersection_N,intersection_Unknown,intersection_Y,weather_1_A,weather_1_B,weather_1_C,weather_1_D,weather_1_E,weather_1_F,weather_1_G,weather_1_Unknown,location_type_H,location_type_I,location_type_N,location_type_R,primary_coll_factor_A,primary_coll_factor_B,primary_coll_factor_C,primary_coll_factor_D,primary_coll_factor_E,primary_coll_factor_Unknown,pcf_viol_category_00,pcf_viol_category_01,pcf_viol_category_02,pcf_viol_category_03,pcf_viol_category_04,pcf_viol_category_05,pcf_viol_category_06,pcf_viol_category_07,pcf_viol_category_08,pcf_viol_category_09,pcf_viol_category_10,pcf_viol_category_11,pcf_viol_category_12,pcf_viol_category_13,pcf_viol_category_14,pcf_viol_category_15,pcf_viol_category_16,pcf_viol_category_17,pcf_viol_category_18,pcf_viol_category_21,pcf_viol_category_22,pcf_viol_category_24,pcf_viol_category_Unknown,hit_and_run_F,hit_and_run_M,hit_and_run_N,type_of_collision_A,type_of_collision_B,type_of_collision_C,type_of_collision_D,type_of_collision_E,type_of_collision_F,type_of_collision_G,type_of_collision_H,type_of_collision_Unknown,road_surface_A,road_surface_B,road_surface_C,road_surface_D,road_surface_Unknown,road_cond_1_A,road_cond_1_B,road_cond_1_C,road_cond_1_D,road_cond_1_E,road_cond_1_F,road_cond_1_G,road_cond_1_H,road_cond_1_Unknown,lighting_A,lighting_B,lighting_C,lighting_D,lighting_E,lighting_Unknown,control_device_A,control_device_B,control_device_C,control_device_D,control_device_Unknown
20,2012-01-21T00:00:00.000Z,107,28,6,12,17,12,9,11,10,0,0,0,0,0,1,0,13243.343339177989,30356.776273054173,131.2336448598131,70851.3644859813,670.3364485981308,25.794392523364486,21.439252336448597,2.5233644859813085,125.48598130841121,0.4672897196261682,1,106,1,88,0.0,0.0,0.0,0.0,0.0,0,12,0,10,54,0,53,42,17,48,0,0,0,0,0,1,0,105,1,104,0,0,3,0,0,5,14,0,31,2,10,0,4,4,13,7,0,11,0,0,0,0,0,0,3,2,0,1,19,32,56,12,20,21,29,13,0,12,0,0,47,60,0,0,0,0,0,0,2,0,0,0,104,1,44,2,58,3,0,0,47,1,2,57,0
21,2012-01-22T00:00:00.000Z,75,12,10,8,8,8,8,14,7,0,0,0,0,0,0,1,12146.483610166153,26524.26718885124,126.4,57358.0,582.04,19.906666666666666,20.28,1.7333333333333334,120.32,0.38666666666666666,2,73,0,72,0.0,0.0,0.0,0.0,0.0,0,5,0,3,37,0,38,61,14,0,0,0,0,0,0,0,0,75,0,72,0,1,2,0,0,3,11,0,16,4,3,0,6,3,12,1,1,10,0,0,0,0,0,1,2,1,0,1,5,22,48,6,19,17,20,7,1,5,0,0,75,0,0,0,0,0,0,1,0,0,0,0,73,1,29,2,41,3,0,0,32,0,0,43,0
22,2012-01-23T00:00:00.000Z,152,7,7,27,25,25,30,20,11,1,0,0,0,0,0,0,11794.12392132722,31102.992541327054,133.5,61611.78289473684,621.5394736842105,25.32236842105263,20.282894736842106,2.1052631578947367,127.21192052980132,0.5761589403973509,3,149,1,141,0.0,0.0,0.0,0.0,0.0,0,20,0,5,74,0,78,33,44,75,0,0,0,0,0,0,1,150,1,149,0,1,2,0,0,4,10,0,45,10,5,6,8,11,27,7,5,9,0,0,0,0,0,1,2,0,0,2,21,35,96,9,35,32,43,16,0,17,0,0,25,127,0,0,0,0,0,0,0,0,1,2,149,0,94,8,47,2,1,0,69,0,0,82,1
23,2012-01-24T00:00:00.000Z,100,4,1,15,16,12,24,19,9,0,1,0,0,0,0,0,12883.138270297331,27423.71643134012,138.4,73787.24,700.02,37.0,22.69,2.2,131.54,0.48,4,96,1,89,0.0,0.0,0.0,0.0,0.0,0,10,0,5,47,0,53,94,4,2,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,4,0,21,10,2,0,9,10,17,2,5,10,0,0,0,0,3,0,3,2,0,2,9,19,72,3,24,25,33,6,0,9,0,0,97,3,0,0,0,0,0,0,0,0,0,0,99,1,57,6,35,2,0,0,50,1,0,49,0
24,2012-01-25T00:00:00.000Z,95,3,2,15,9,19,22,15,10,0,0,1,0,0,0,0,13914.617604601373,25580.73611098702,128.6421052631579,72785.23157894737,678.6842105263158,37.159574468085104,21.829787234042552,2.5319148936170213,131.06382978723406,0.5106382978723404,2,93,0,80,0.0,0.0,0.0,0.0,0.0,0,12,0,7,46,0,49,94,0,1,0,0,0,0,0,0,1,94,0,90,2,1,2,0,0,3,3,0,16,3,7,2,7,10,23,3,3,6,0,0,0,0,1,1,2,3,0,2,9,21,65,11,20,20,23,8,1,12,0,0,94,1,0,0,0,0,0,0,0,0,0,0,95,0,57,8,29,1,0,0,42,0,0,51,2
25,2012-01-26T00:00:00.000Z,96,4,3,13,9,21,25,16,5,0,0,0,1,0,0,0,11541.221135811595,27530.07732934845,142.30208333333334,78916.80208333333,709.65625,40.427083333333336,22.135416666666668,3.125,128.35416666666666,0.75,4,92,0,86,0.0,0.0,0.0,0.0,0.0,0,11,0,6,54,0,42,95,1,0,0,0,0,0,0,1,0,95,0,95,0,0,1,0,0,4,1,0,31,7,2,2,5,4,13,8,2,7,0,0,0,0,2,0,4,2,0,2,12,30,54,5,25,28,16,9,2,11,0,0,96,0,0,0,0,0,0,0,1,2,0,0,93,0,62,5,29,0,0,0,37,0,0,58,1
26,2012-01-27T00:00:00.000Z,98,4,4,14,11,12,24,15,13,0,0,0,0,1,0,0,11108.547296018865,28643.24163290075,141.22448979591837,65681.20408163265,641.6836734693877,21.551020408163264,21.428571428571427,1.7959183673469388,129.46938775510205,0.37755102040816324,2,96,0,59,0.0,0.0,0.0,0.0,0.0,0,9,0,6,43,0,55,89,9,0,0,0,0,0,0,0,0,98,0,95,0,0,3,0,0,8,5,0,20,8,7,2,2,2,21,3,2,6,0,0,0,0,1,0,6,5,0,0,10,24,64,6,21,28,28,7,0,8,0,0,98,0,0,0,0,0,0,0,0,0,0,0,98,0,56,6,36,0,0,0,42,0,0,54,2
27,2012-01-28T00:00:00.000Z,85,12,3,9,6,10,15,18,12,0,0,0,0,0,1,0,12032.285512132667,21536.033034996428,130.0,80373.04761904762,735.9166666666666,49.01204819277108,21.397590361445783,3.1686746987951806,132.9277108433735,0.5783132530120482,4,81,0,76,0.0,0.0,0.0,0.0,0.0,0,13,0,0,41,0,44,84,0,0,0,0,0,1,0,0,0,85,0,83,1,1,0,0,0,1,6,0,19,2,1,0,8,4,17,4,7,7,0,0,0,0,1,1,2,2,0,3,4,28,53,5,14,17,26,10,0,13,0,0,85,0,0,0,0,1,0,0,0,0,0,0,83,1,35,3,46,0,1,0,38,0,0,46,1
28,2012-01-29T00:00:00.000Z,81,8,4,4,10,11,16,17,9,0,0,0,0,0,0,1,11332.321184981276,29092.622157856647,141.54320987654322,65115.96296296296,665.4938271604939,13.950617283950617,24.28395061728395,2.246913580246914,146.8641975308642,0.32098765432098764,5,76,0,78,0.0,0.0,0.0,0.0,0.0,0,2,0,4,43,0,38,80,1,0,0,0,0,0,0,0,1,80,0,80,0,1,0,0,0,1,14,0,16,5,3,0,2,3,15,1,0,13,0,0,0,0,0,1,5,1,0,1,11,22,48,5,14,27,28,5,0,2,0,0,80,1,0,0,0,0,0,0,0,0,0,0,81,0,38,3,36,4,0,0,40,0,0,41,0
29,2012-01-30T00:00:00.000Z,92,2,1,17,23,15,22,11,1,1,0,0,0,0,0,0,13193.851399455712,26449.27978136953,132.05434782608697,63680.967391304344,637.9782608695652,20.032608695652176,20.445652173913043,2.282608695652174,133.97826086956522,0.5,4,88,1,78,0.0,0.0,0.0,0.0,0.0,0,4,0,6,41,0,51,86,5,1,0,0,0,0,0,0,0,92,0,90,1,0,1,0,0,4,1,0,25,5,5,0,4,7,18,1,1,8,0,0,0,0,1,0,7,4,0,1,10,17,65,6,18,33,30,1,1,3,0,0,91,1,0,0,0,1,0,0,0,1,0,0,88,2,67,4,21,0,0,0,42,0,0,50,0
30,2012-01-31T00:00:00.000Z,83,2,2,7,14,16,24,13,5,0,1,0,0,0,0,0,12445.061377523716,27383.04348593269,132.93975903614458,73930.03614457832,709.9397590361446,43.59756097560975,22.963414634146343,2.6097560975609757,126.78048780487805,0.5609756097560976,3,80,0,56,0.0,0.0,0.0,0.0,0.0,0,7,0,6,38,0,45,78,4,0,0,1,0,0,0,0,0,82,1,83,0,0,0,0,0,1,1,0,15,4,5,2,6,3,21,1,2,7,0,0,0,0,2,0,8,4,0,1,6,20,57,2,24,21,28,1,0,7,0,0,83,0,0,0,0,0,0,0,0,0,0,0,83,0,51,3,25,4,0,0,41,0,0,42,0
31,2012-02-01T00:00:00.000Z,87,7,2,11,11,14,18,13,9,0,0,1,0,0,0,0,12181.684448549977,31681.16486883068,132.71264367816093,64813.574712643676,663.0344827586207,37.0,21.482758620689655,2.586206896551724,139.25581395348837,0.47674418604651164,5,82,1,74,0.0,0.0,0.0,0.0,0.0,1,9,0,4,44,0,43,87,0,0,0,0,0,0,0,0,0,87,0,86,0,0,1,0,0,4,5,0,19,2,3,2,7,3,18,7,2,8,0,0,0,0,2,0,2,2,0,1,10,24,53,7,27,21,21,2,0,9,0,0,84,2,0,1,0,0,2,0,0,0,0,0,84,1,49,8,30,0,0,0,34,0,0,53,0
