,Population,Density,Wealthy,median_age,intersections,total_watts,total_lightbulbs,one_way_signs,speed_limit_signs,no_u_turn_signs,stop_sign,yield_sign,accidents
242,45527,8622.537878787878,16473.61767742219,15288,130.0,2446.0,67.0,3.0,11.0,0.0,90.0,0.0,51
243,45527,8622.537878787878,16473.61767742219,15288,140.0,2723.0,40.0,1.0,15.0,0.0,137.0,0.0,181
244,27425,7596.952908587258,19733.739507748403,9998,138.0,4843.0,41.0,4.0,18.0,0.0,153.0,0.0,239
245,27425,7596.952908587258,19733.739507748403,9998,164.0,17987.0,129.0,7.0,13.0,3.0,131.0,0.0,188
246,55758,17051.376146788993,8558.582409699056,14012,111.0,34378.0,406.0,0.0,6.0,5.0,81.0,0.0,253
247,48852,14939.449541284404,7311.482088757881,13690,92.0,52750.0,497.0,3.0,9.0,0.0,96.0,1.0,258
248,39316,11395.942028985506,10087.446968155458,11903,86.0,44864.0,362.0,5.0,16.0,13.0,47.0,1.0,138
249,39316,11395.942028985506,10087.446968155458,11903,191.0,41966.0,480.0,25.0,25.0,0.0,112.0,1.0,189
250,39316,11395.942028985506,10087.446968155458,11903,127.0,25878.0,328.0,0.0,5.0,0.0,71.0,0.0,110
251,62430,13454.741379310346,13644.780938651289,21018,114.0,19831.0,266.0,9.0,9.0,0.0,45.0,0.0,130
252,62430,13454.741379310346,13644.780938651289,21018,165.0,43209.0,450.0,11.0,23.0,0.0,140.0,2.0,443
253,62430,13454.741379310346,13644.780938651289,21018,172.0,16555.0,160.0,0.0,9.0,0.0,252.0,2.0,381
254,62430,13454.741379310346,13644.780938651289,21018,173.0,10888.0,100.0,20.0,10.0,0.0,93.0,0.0,113
255,27425,7596.952908587258,19733.739507748403,9998,198.0,29410.0,219.0,16.0,20.0,8.0,142.0,2.0,261
256,45786,9598.742138364782,12100.059472327786,13521,84.0,19445.0,228.0,6.0,2.0,0.0,23.0,0.0,129
257,45786,9598.742138364782,12100.059472327786,13521,134.0,41881.0,555.0,1.0,11.0,2.0,102.0,1.0,258
258,45786,9598.742138364782,12100.059472327786,13521,132.0,54394.0,636.0,8.0,10.0,0.0,181.0,0.0,259
259,45786,9598.742138364782,12100.059472327786,13521,116.0,45912.0,536.0,40.0,15.0,0.0,158.0,0.0,257
260,45786,9598.742138364782,12100.059472327786,13521,119.0,11676.0,202.0,0.0,2.0,0.0,58.0,0.0,34
261,62430,13454.741379310346,13644.780938651289,21018,78.0,9401.0,135.0,0.0,5.0,0.0,32.0,0.0,32
262,62430,13454.741379310346,13644.780938651289,21018,136.0,7426.0,98.0,0.0,18.0,0.0,137.0,0.0,209
263,62430,13454.741379310346,13644.780938651289,21018,116.0,1750.0,50.0,2.0,15.0,0.0,40.0,0.0,23
264,45786,9598.742138364782,12100.059472327786,13521,29.0,636.0,4.0,2.0,15.0,0.0,90.0,0.0,16
265,45786,9598.742138364782,12100.059472327786,13521,16.0,1330.0,19.0,2.0,15.0,0.0,13.0,0.0,9
266,45786,9598.742138364782,12100.059472327786,13521,32.0,5602.0,50.0,5.0,1.0,0.0,23.0,0.0,15
267,45786,9598.742138364782,12100.059472327786,13521,48.0,12907.0,116.0,4.0,4.0,0.0,27.0,0.0,11
268,42147,16399.610894941634,23714.90609114098,23058,27.0,504.0,14.0,2.0,1.0,0.0,8.0,0.0,1
269,35482,2362.31691078562,59861.40736147906,18097,133.0,18797.0,181.0,1.0,22.0,0.0,99.0,1.0,150
270,35482,2362.31691078562,59861.40736147906,18097,48.0,3739.0,25.0,0.0,4.0,0.0,17.0,0.0,10
271,35482,2362.31691078562,59861.40736147906,18097,41.0,6880.0,91.0,0.0,1.0,0.0,8.0,0.0,3
272,35482,2362.31691078562,59861.40736147906,18097,66.0,11782.0,274.0,0.0,21.0,0.0,41.0,0.0,36
273,55277,11235.162601626016,23714.90609114098,25319,213.0,45620.0,510.0,147.0,27.0,0.0,122.0,0.0,422
274,42147,16399.610894941634,23714.90609114098,23058,40.0,1172.0,28.0,0.0,2.0,0.0,26.0,0.0,19
275,42147,16399.610894941634,23714.90609114098,23058,194.0,37675.0,382.0,19.0,43.0,2.0,149.0,0.0,228
276,35482,2362.31691078562,59861.40736147906,18097,83.0,10406.0,115.0,0.0,24.0,0.0,39.0,0.0,65
277,35482,2362.31691078562,59861.40736147906,18097,78.0,13429.0,122.0,0.0,8.0,0.0,90.0,0.0,50
278,9377,1279.263301500682,66455.4234829903,3888,85.0,51458.0,410.0,0.0,18.0,1.0,37.0,0.0,90
279,55277,11235.162601626016,23714.90609114098,25319,118.0,7295.0,193.0,35.0,7.0,0.0,41.0,0.0,42
280,55277,11235.162601626016,23714.90609114098,25319,535.0,106252.0,1114.0,194.0,46.0,2.0,382.0,4.0,912
281,55277,11235.162601626016,23714.90609114098,25319,68.0,11172.0,82.0,0.0,2.0,0.0,24.0,0.0,30
282,42147,16399.610894941634,23714.90609114098,23058,108.0,42227.0,402.0,1.0,29.0,1.0,149.0,0.0,508
283,42147,16399.610894941634,23714.90609114098,23058,155.0,57594.0,501.0,18.0,43.0,3.0,193.0,1.0,557
284,9377,1279.263301500682,66455.4234829903,3888,90.0,79015.0,528.0,4.0,16.0,2.0,64.0,1.0,181
285,9377,1279.263301500682,66455.4234829903,3888,22.0,9905.0,118.0,0.0,13.0,0.0,15.0,0.0,18
286,9377,1279.263301500682,66455.4234829903,3888,86.0,18564.0,193.0,0.0,19.0,0.0,65.0,0.0,45
287,55277,11235.162601626016,23714.90609114098,25319,28.0,3350.0,59.0,6.0,4.0,0.0,25.0,0.0,26
288,55277,11235.162601626016,23714.90609114098,25319,167.0,13244.0,250.0,21.0,19.0,0.0,57.0,0.0,97
289,55277,11235.162601626016,23714.90609114098,25319,224.0,53484.0,528.0,55.0,23.0,6.0,234.0,1.0,685
290,55277,11235.162601626016,23714.90609114098,25319,126.0,34489.0,402.0,5.0,25.0,10.0,140.0,0.0,204
291,42147,16399.610894941634,23714.90609114098,23058,228.0,82917.0,901.0,36.0,51.0,11.0,348.0,3.0,1163
292,47452,16140.136054421768,26521.38953047289,19932,96.0,100202.0,760.0,46.0,21.0,40.0,97.0,0.0,512
293,9377,1279.263301500682,66455.4234829903,3888,73.0,33423.0,383.0,0.0,27.0,3.0,47.0,0.0,123
294,9377,1279.263301500682,66455.4234829903,3888,207.0,6663.0,110.0,0.0,12.0,0.0,20.0,0.0,46
295,9377,1279.263301500682,66455.4234829903,3888,97.0,11967.0,240.0,0.0,14.0,0.0,45.0,0.0,67
296,39480,3679.4035414725067,27516.27322695036,16127,2.0,7005.0,40.0,2.0,5.0,0.0,90.0,0.0,71
297,39480,3679.4035414725067,27516.27322695036,16127,38.0,72447.0,335.0,0.0,5.0,0.0,29.0,0.0,76
298,55277,11235.162601626016,23714.90609114098,25319,92.0,35708.0,430.0,14.0,14.0,4.0,78.0,0.0,238
299,55277,11235.162601626016,23714.90609114098,25319,184.0,50201.0,462.0,4.0,24.0,0.0,177.0,0.0,451
300,55277,11235.162601626016,23714.90609114098,25319,228.0,66429.0,836.0,4.0,42.0,0.0,281.0,1.0,406
301,42147,16399.610894941634,23714.90609114098,23058,196.0,139897.0,1306.0,16.0,49.0,4.0,270.0,1.0,924
302,47452,16140.136054421768,26521.38953047289,19932,162.0,163381.0,1397.0,18.0,43.0,8.0,336.0,0.0,687
303,47452,16140.136054421768,26521.38953047289,19932,109.0,49646.0,527.0,0.0,28.0,7.0,109.0,4.0,195
304,9377,1279.263301500682,66455.4234829903,3888,107.0,15515.0,71.0,0.0,9.0,0.0,25.0,0.0,67
305,9377,1279.263301500682,66455.4234829903,3888,81.0,11913.0,226.0,0.0,30.0,0.0,51.0,1.0,98
306,39480,3679.4035414725067,27516.27322695036,16127,64.0,5386.0,49.0,1.0,0.0,5.0,90.0,0.0,53
307,39480,3679.4035414725067,27516.27322695036,16127,21.0,26034.0,153.0,1.0,1.0,0.0,15.0,0.0,17
308,39480,3679.4035414725067,27516.27322695036,16127,207.0,103924.0,1117.0,33.0,20.0,13.0,187.0,8.0,316
309,55277,11235.162601626016,23714.90609114098,25319,192.0,29688.0,346.0,14.0,24.0,0.0,180.0,0.0,306
310,55277,11235.162601626016,23714.90609114098,25319,206.0,61787.0,714.0,13.0,25.0,2.0,165.0,0.0,473
311,25403,6350.75,43519.231901743886,11540,203.0,139390.0,1147.0,15.0,49.0,2.0,262.0,1.0,551
312,2424,7345.454545454545,591206.00660066,1808,169.0,149748.0,1349.0,7.0,39.0,5.0,264.0,0.0,426
313,47452,16140.136054421768,26521.38953047289,19932,80.0,21112.0,154.0,0.0,2.0,0.0,25.0,0.0,63
314,9377,1279.263301500682,66455.4234829903,3888,106.0,22754.0,165.0,0.0,17.0,0.0,23.0,0.0,15
315,9377,1279.263301500682,66455.4234829903,3888,99.0,8859.0,95.0,0.0,8.0,0.0,35.0,0.0,14
316,39480,3679.4035414725067,27516.27322695036,16127,24.0,3651.0,25.0,2.0,15.0,0.0,90.0,0.0,22
317,39480,3679.4035414725067,27516.27322695036,16127,21.0,17376.0,173.0,0.0,5.0,0.0,2.0,0.0,104
318,39480,3679.4035414725067,27516.27322695036,16127,148.0,69574.0,877.0,12.0,18.0,3.0,153.0,0.0,83
319,55277,11235.162601626016,23714.90609114098,25319,228.0,62543.0,463.0,17.0,24.0,6.0,151.0,1.0,266
320,57964,18637.942122186498,21465.59236767649,27210,129.0,33822.0,290.0,0.0,11.0,0.0,84.0,0.0,280
321,25403,6350.75,43519.231901743886,11540,161.0,65820.0,806.0,3.0,37.0,0.0,221.0,3.0,324
